,name,model,actual price,old price,discount
0,Converse,One Star OX,"95,00","95,00",0%
1,Puma,Slipstream Low Retro,"100,00","100,00",0%
2,Puma,Slipstream Low Retro,"100,00","100,00",0%
3,Converse,Women's Run Star Motion,"120,00","120,00",0%
4,Converse,Women's Chuck 70 Hi ,"95,00","95,00",0%
5,Converse,Chuck 70 Hi Utility,"140,00","140,00",0%
6,New Balance,Women's 327,"110,00","110,00",0%
7,Birkenstock,Arizona BF,"70,00","70,00",0%
8,Nike,Women's Blazer Mid '77 Jumbo,"110,00","110,00",0%
9,Nike,Offline Pack,"125,00","125,00",0%
10,Converse,Women's Chuck 70 Hi ,"100,00","100,00",0%
11,adidas,Forum Mid Parley,"120,00","120,00",0%
12,adidas,Superstar Parley,"120,00","120,00",0%
13,adidas,Superstar 82,"120,00","120,00",0%
14,Birkenstock,Women's Siena,"105,00","105,00",0%
15,Asics,Gel-Lyte III OG GTX,"170,00","170,00",0%
16,RAF SIMONS,Cylon-21,"450,00","450,00",0%
17,RAF SIMONS,Cylon-21,"450,00","450,00",0%
18,New Balance,Made in UK 1500,"220,00","220,00",0%
19,Converse,Chuck 70 Hi ,"90,00","90,00",0%
20,Converse,Chuck 70 Hi C.G,"100,00","100,00",0%
21,Converse,Chuck 70 Hi Utility,"140,00","140,00",0%
22,Converse,Weapon CX,"110,00","110,00",0%
23,Converse,Run Star Motion Hi,"120,00","120,00",0%
24,Converse,Run Star Motion Hi,"120,00","120,00",0%
25,Nike, Air Huarache NH,"120,00","120,00",0%
26,Nike, Air Pegasus 83 Premium,"100,00","100,00",0%
27,Nike,Women's Air Max Pre-Day SE,"145,00","145,00",0%
28,Jordan,Sky Jordan 1 (PS),"70,00","70,00",0%
29,Jordan,Sky Jordan 1 (PS),"70,00","70,00",0%
30,Asics,5N2-S Protoblast ,"140,00","140,00",0%
31,adidas,Campus 80s,"100,00","100,00",0%
32,adidas,Ozweego Celox,"120,00","120,00",0%
33,adidas,Women's Superstar,"110,00","110,00",0%
34,adidas,Women's Superstar Bonega,"110,00","110,00",0%
35,adidas,Women's Forum Bonega Mid,"120,00","120,00",0%
36,adidas,Women's Forum Bonega,"110,00","110,00",0%
37,adidas,Women's Ultraboost Web DNA,"180,00","180,00",0%
38,adidas,Ultraboost 22,"190,00","190,00",0%
39,adidas Consortium,Equipment Proto,"130,00","130,00",0%
40,adidas Consortium,Equipment Proto,"130,00","130,00",0%
41,Puma,Women's Cali Dreams Pastel,"100,00","100,00",0%
42,Converse,Weapon CX,"120,00","120,00",0%
43,adidas Y-3,Slides,"160,00","160,00",0%
44,On,Cloudmonster ,"170,00","170,00",0%
45,Nike,"Blazer Low ""Black Patent Leather"" x sacai","125,00","125,00",0%
46,Nike,"Blazer Low ""White Patent Leather"" x sacai","125,00","125,00",0%
47,Converse,One Star Pro OX x Carhartt WIP ,"100,00","100,00",0%
48,Converse,Fasbreak Pro Mid x Carhartt WIP,"110,00","110,00",0%
49,On,Cloudmonster,"170,00","170,00",0%
50,adidas,Adimatic,"110,00","110,00",0%
51,HOKA One One,Anacapa Low GTX,"155,00","155,00",0%
52,adidas,Superstar 82,"120,00","120,00",0%
53,adidas Y-3,Hokori Sandals,"230,00","230,00",0%
54,Birkenstock,Arozina NU,"110,00","110,00",0%
55,Nike,Air Trainer 1,"125,00","125,00",0%
56,Jordan,"Air Jordan 7 Retro SE ""Sapphire""","200,00","200,00",0%
57,Puma,Basket VTG,"90,00","90,00",0%
58,Puma,Basket VTG,"90,00","90,00",0%
59,Birkenstock,Arizona,"45,00","45,00",0%
60,Birkenstock,Women's Madrid Big Buckle Leoi,"120,00","120,00",0%
61,Vans,Classic Slip-On 98 DX,"85,00","85,00",0%
62,Vans,Old Skool 36 DX ,"100,00","100,00",0%
63,Vans,Authentic 44 DX ,"85,00","85,00",0%
64,Vans,OG Style 36,"105,00","105,00",0%
65,Rick Owens DRKSHDW,Beatle Abstract,"560,00","560,00",0%
66,Rick Owens,Pull On Fogpocket Cyclops,"1.675,00","1.675,00",0%
67,Rick Owens,Leather Geth Runner ,"880,00","880,00",0%
68,adidas,4D Futurecraft,"220,00","220,00",0%
69,New Balance,2002R,"120,00","120,00",0%
70,New Balance,2002R,"120,00","120,00",0%
