,name,model,actual price,old price,discount
0,Nike,ZoomX Vaporfly NEXT% 2,"250,00","250,00",0%
1,Jordan,Series .04,"80,00","80,00",0%
2,adidas,ZX 2K Boost Utility GORE-TEX,"180,00","180,00",0%
3,adidas,Superstar 82,"180,00","180,00",0%
4,Asics,GEL-Kayano 28 Lite-Show,"180,00","180,00",0%
5,Asics,Women's GEL-Kayano 28 Lite-Show,"180,00","180,00",0%
6,Jordan,"1 Mid SE (PS) ""Elephant Print""","80,00","80,00",0%
7,Jordan,Sky Jordan 1 (TD),"55,00","55,00",0%
8,Jordan,Women's Sophia Slides,"75,00","75,00",0%
9,Converse,One Star OX,"95,00","95,00",0%
10,Puma,Slipstream Low Retro,"100,00","100,00",0%
11,Puma,Slipstream Low Retro,"100,00","100,00",0%
12,Converse,Women's Run Star Motion,"120,00","120,00",0%
13,Converse,Women's Chuck 70 Hi ,"95,00","95,00",0%
14,Converse,Chuck 70 Hi Utility,"140,00","140,00",0%
15,New Balance,Women's 327,"110,00","110,00",0%
16,Birkenstock,Arizona BF,"70,00","70,00",0%
17,Nike,Women's Blazer Mid '77 Jumbo,"110,00","110,00",0%
18,Nike,Offline Pack,"125,00","125,00",0%
19,Converse,Women's Chuck 70 Hi ,"100,00","100,00",0%
20,adidas,Forum Mid Parley,"120,00","120,00",0%
21,adidas,Superstar Parley,"120,00","120,00",0%
22,adidas,Superstar 82,"120,00","120,00",0%
23,Birkenstock,Women's Siena,"105,00","105,00",0%
24,Asics,Gel-Lyte III OG GTX,"170,00","170,00",0%
25,RAF SIMONS,Cylon-21,"450,00","450,00",0%
26,RAF SIMONS,Cylon-21,"450,00","450,00",0%
27,New Balance,Made in UK 1500,"220,00","220,00",0%
28,Converse,Chuck 70 Hi ,"90,00","90,00",0%
29,Converse,Chuck 70 Hi C.G,"100,00","100,00",0%
30,Converse,Chuck 70 Hi Utility,"140,00","140,00",0%
31,Converse,Weapon CX,"110,00","110,00",0%
32,Converse,Run Star Motion Hi,"120,00","120,00",0%
33,Converse,Run Star Motion Hi,"120,00","120,00",0%
34,Nike, Air Huarache NH,"120,00","120,00",0%
35,Nike, Air Pegasus 83 Premium,"100,00","100,00",0%
36,Nike,Women's Air Max Pre-Day SE,"145,00","145,00",0%
37,Jordan,Sky Jordan 1 (PS),"70,00","70,00",0%
38,Jordan,Sky Jordan 1 (PS),"70,00","70,00",0%
39,Asics,5N2-S Protoblast ,"140,00","140,00",0%
40,adidas,Campus 80s,"100,00","100,00",0%
41,adidas,Ozweego Celox,"120,00","120,00",0%
42,adidas,Women's Superstar,"110,00","110,00",0%
43,adidas,Women's Superstar Bonega,"110,00","110,00",0%
44,adidas,Women's Forum Bonega Mid,"120,00","120,00",0%
45,adidas,Women's Forum Bonega,"110,00","110,00",0%
46,adidas,Women's Ultraboost Web DNA,"180,00","180,00",0%
47,adidas,Ultraboost 22,"190,00","190,00",0%
48,adidas Consortium,Equipment Proto,"130,00","130,00",0%
49,adidas Consortium,Equipment Proto,"130,00","130,00",0%
50,Puma,Women's Cali Dreams Pastel,"100,00","100,00",0%
51,Converse,Weapon CX,"120,00","120,00",0%
52,adidas Y-3,Slides,"160,00","160,00",0%
53,On,Cloudmonster ,"170,00","170,00",0%
54,Nike,"Blazer Low ""Black Patent Leather"" x sacai","125,00","125,00",0%
55,Converse,One Star Pro OX x Carhartt WIP ,"100,00","100,00",0%
56,Converse,Fasbreak Pro Mid x Carhartt WIP,"110,00","110,00",0%
57,On,Cloudmonster,"170,00","170,00",0%
58,HOKA One One,Anacapa Low GTX,"155,00","155,00",0%
59,adidas,Superstar 82,"120,00","120,00",0%
60,adidas Y-3,Hokori Sandals,"230,00","230,00",0%
61,Birkenstock,Arozina NU,"110,00","110,00",0%
62,Nike,Air Trainer 1,"125,00","125,00",0%
